"userId","role","location","TotalMeces","señority"
"0ebd14e4-36a0-474b-96e6-509c558565e2","diseñadora ",\N,"36","1"
"0ebd14e4-36a0-474b-96e6-509c558565e2","diseñadora ",\N,"23","3"
"0ebd14e4-36a0-474b-96e6-509c558565e2","community manager ",\N,"1","3"
"c46008b6-24f3-4a0b-a790-ba36e3668eb7","ejecutivo comercial ",\N,"13","0"
"e00f153c-ca7a-4f79-b825-24c798c11f57","campaing manager ",\N,"53","0"
"4bcd707d-5540-40d1-beda-192ac5f266fa","director",\N,"3","0"
"2835ad48-bfd7-40a5-9a94-ba9b018c2278","project manager scrum",\N,"3","0"
"2835ad48-bfd7-40a5-9a94-ba9b018c2278","project manager",\N,"16","0"
"2835ad48-bfd7-40a5-9a94-ba9b018c2278","project lead ",\N,"19","4"
"2835ad48-bfd7-40a5-9a94-ba9b018c2278","project manager lead",\N,"17","4"
"2835ad48-bfd7-40a5-9a94-ba9b018c2278","project manager & qa testing lead",\N,"26","4"
"2835ad48-bfd7-40a5-9a94-ba9b018c2278","líder de proyecto",\N,"20","0"
"2f1bdbc1-1b95-4c23-ad51-004bc4b88208","program manager y director",\N,"1","0"
"a2666d7f-b442-4b39-9597-a48c2bfeff0c","community manager",\N,"13","0"
"384f97ad-9c71-4843-992c-4ed4cacad521","montacarguista",\N,"28","0"
"7b03d8bc-765d-45e3-995e-a028dd844276","contenido en pantallas",\N,"7","0"
"7b03d8bc-765d-45e3-995e-a028dd844276","subtítulos y edición.",\N,"1","0"
"6367fdf5-e226-43bc-9394-6c549ae229fa","consultor de soluciones",\N,"12","0"
"6367fdf5-e226-43bc-9394-6c549ae229fa","arquitecto de soluciones",\N,"27","0"
"6367fdf5-e226-43bc-9394-6c549ae229fa","ingeniero de integraciones",\N,"39","0"
"6367fdf5-e226-43bc-9394-6c549ae229fa","ingeniero de servicios profesionales",\N,"58","0"
"057f446d-63b6-4598-a0a2-fd78fc914d66","regional brand manager",\N,"11","0"
"057f446d-63b6-4598-a0a2-fd78fc914d66","social media manager",\N,"3","0"
"057f446d-63b6-4598-a0a2-fd78fc914d66","social media manager latam",\N,"24","0"
"057f446d-63b6-4598-a0a2-fd78fc914d66","director de contenidos",\N,"29","0"
"057f446d-63b6-4598-a0a2-fd78fc914d66","productor y editor de contenido",\N,"7","0"
"057f446d-63b6-4598-a0a2-fd78fc914d66","host/productor",\N,"1","0"
"5eaf76bb-e207-43e2-8154-003dc51495d6","community manager",\N,"31","0"
"8d6c46cb-eed3-449e-88bf-0abf2ba1aece","jefatura servicios generales",\N,"27","0"
"8d6c46cb-eed3-449e-88bf-0abf2ba1aece","coordinador compras y servicios generales ",\N,"14","0"
"8d6c46cb-eed3-449e-88bf-0abf2ba1aece","coordinador compras y servicios generales ",\N,"14","0"
"1e9421df-e2e3-4643-864e-e23878f9f494","digital manager y pr",\N,"52","0"
"1e9421df-e2e3-4643-864e-e23878f9f494","editora web",\N,"17","0"
"1e9421df-e2e3-4643-864e-e23878f9f494","editora web",\N,"22","0"
"0bbadbae-8b0f-470e-a6de-611e6c13d721","supervisor de área",\N,"86","0"
"b942da50-a766-407f-a414-80916ad07e63","guest service manager",\N,"14","0"
"c83fb74a-680e-475c-ab8f-2ccfb2091c5b","marketing specialist",\N,"9","0"
"c83fb74a-680e-475c-ab8f-2ccfb2091c5b","analista de marketing digital",\N,"15","0"
"c83fb74a-680e-475c-ab8f-2ccfb2091c5b","ejecutiva de cuentas/ especialista de marketing",\N,"8","0"
"c83fb74a-680e-475c-ab8f-2ccfb2091c5b","ventas y marketing digital",\N,"14","0"
"a8a11ce0-5091-4ff5-93e0-7902f7b54f11","director de arte",\N,"4","0"
"9344bf8f-96b9-4f08-adae-0cd7d97357c3","desarrollador front end",\N,"10","0"
"9344bf8f-96b9-4f08-adae-0cd7d97357c3","desarrollador java",\N,"6","0"
"8f19b499-3eda-4727-9938-4fc94aa01d0c","e-content/ecommerce con plataforma magento",\N,"12","0"
"8f19b499-3eda-4727-9938-4fc94aa01d0c","social media/mkt digital /diseño/ecommerce",\N,"10","0"
"8f19b499-3eda-4727-9938-4fc94aa01d0c","social media/publicidad/diseño",\N,"22","0"
"374be80f-7dab-4d50-8345-34f9fd169073","coordinador de operaciones ",\N,"21","0"
"374be80f-7dab-4d50-8345-34f9fd169073","auditor de procesos",\N,"15","0"
"374be80f-7dab-4d50-8345-34f9fd169073","supervisor de terminación mecánica",\N,"26","0"
"daa0cedc-7623-4656-bbd4-24f18c3b6bba","diseñador",\N,"5","1"
"daa0cedc-7623-4656-bbd4-24f18c3b6bba","diseñador editorial",\N,"6","1"
"daa0cedc-7623-4656-bbd4-24f18c3b6bba","director de arte",\N,"22","0"
"6a3ab9f8-1b88-4dd3-ab26-9b00e887c501","community manager",\N,"4","0"
"4a648717-9594-4b45-b57f-0bc61abf629e","consultor sap ewm ",\N,"2","0"
"4a648717-9594-4b45-b57f-0bc61abf629e","lider de proyecto",\N,"233","0"
"92282ef8-2be3-4968-9b31-976627f86513","diseñador gráfico junior",\N,"12","0"
"92282ef8-2be3-4968-9b31-976627f86513","diseñador gráfico junior",\N,"19","0"
"f0bb9568-a59d-46af-a1f5-8011f2262b00","psicóloga clínica ",\N,"11","0"
"f0bb9568-a59d-46af-a1f5-8011f2262b00","becaria ",\N,"10","0"
"99e03f1c-0d17-473f-afc8-8e3dcffc9025","profesor de programación en \"c\"",\N,"14","0"
"99e03f1c-0d17-473f-afc8-8e3dcffc9025","dependiente ",\N,"20","0"
"2183a18a-726f-4e5e-bb3a-8a1476f2df57","diseñador industrial",\N,"31","1"
"2183a18a-726f-4e5e-bb3a-8a1476f2df57","agente telefónico bilingüe",\N,"2","0"
"2183a18a-726f-4e5e-bb3a-8a1476f2df57","diseñador industrial",\N,"21","1"
"8713a6a8-6532-4ea4-b503-cc3bfbda4f0d","asesor de ventas ",\N,"1","0"
"47b0b1fd-10e7-4a37-9de2-777d21bdf590","redactor de contenido",\N,"12","0"
"38917c19-2a28-444f-a0d3-da80ca8b2700","desarrollador full stack ",\N,"25","0"
"a9953b86-4ada-4fd9-acf0-e81c6583432b","community manager",\N,"9","0"
"a9953b86-4ada-4fd9-acf0-e81c6583432b","community manager",\N,"22","0"
"a9953b86-4ada-4fd9-acf0-e81c6583432b","coordinadora de relaciones públicas ",\N,"5","0"
"a9953b86-4ada-4fd9-acf0-e81c6583432b","enlace con el comité ejecutivo nacional de comunicación",\N,"17","0"
"a9953b86-4ada-4fd9-acf0-e81c6583432b","jefa del departartamento de comunicados oficiales ",\N,"34","0"
"9ea2bc8d-3678-4456-bdf3-bc527086ccad","director de arte",\N,"142","0"
"a2042354-960b-4334-a159-cc8f947170c6","encargado de barbería y community manager ",\N,"22","0"
"080181cc-4932-428a-8b0b-f166e8f930f8","diseñadora editorial",\N,"33","0"
"080181cc-4932-428a-8b0b-f166e8f930f8","diseñadora gráfica",\N,"23","0"
"a4dee95d-8f25-4139-b51d-299ad6516535","becaria",\N,"12","0"
"5efad8a9-68b0-463a-bcf3-3348c15f44ae","web developer",\N,"7","0"
"5efad8a9-68b0-463a-bcf3-3348c15f44ae","coordinador de ti",\N,"28","0"
"5efad8a9-68b0-463a-bcf3-3348c15f44ae","consultor de negocios.",\N,"1","0"
"5efad8a9-68b0-463a-bcf3-3348c15f44ae","gerente de operaciones",\N,"37","0"
"5efad8a9-68b0-463a-bcf3-3348c15f44ae","sub gerente de sistemas",\N,"7","0"
"5efad8a9-68b0-463a-bcf3-3348c15f44ae","coordinador de procesos de negocio y tecnología",\N,"1","0"
"5efad8a9-68b0-463a-bcf3-3348c15f44ae","director de sistemas",\N,"1","0"
"287d70ce-6e08-4065-b2e2-9d34363a3436","diseñadora gráfica ",\N,"31","0"
"59e3faa5-dcce-4135-9cca-ffe3cd356149","it quality manager",\N,"29","0"
"59e3faa5-dcce-4135-9cca-ffe3cd356149","it quality manager for mexico and latam",\N,"22","0"
"59e3faa5-dcce-4135-9cca-ffe3cd356149","it consultant",\N,"12","0"
"b384af97-db13-4560-9003-10198e0d3d87","director de arte y diseño / diseñador ux",\N,"33","0"
"b384af97-db13-4560-9003-10198e0d3d87","diseñador /ilustrador freelance",\N,"10","0"
"b384af97-db13-4560-9003-10198e0d3d87","diseñador de arte digital ",\N,"6","0"
"b384af97-db13-4560-9003-10198e0d3d87","corrdinador de diseño ux / diseñador ui ",\N,"33","3"
"b384af97-db13-4560-9003-10198e0d3d87","diseñador ux  / ux researcher",\N,"8","3"
"c81cd553-b710-4274-9a91-947277820b25","asistente de investigación",\N,"10","0"
"c81cd553-b710-4274-9a91-947277820b25","redactor en sitio web",\N,"4","0"
"c81cd553-b710-4274-9a91-947277820b25","coordinador de campaña",\N,"1","0"
"90c01237-58d3-4d01-b011-003550c80db4","copywriter digital ",\N,"48","3"
"ffc5aafd-84dd-4fc1-9e88-a7ba7da821cf","desarrollador de software",\N,"3","0"
"ffc5aafd-84dd-4fc1-9e88-a7ba7da821cf","desarrollador móvil",\N,"10","0"
"0292f3a0-4550-4843-ba7e-ab2794cce945","docente",\N,"70","0"
"0292f3a0-4550-4843-ba7e-ab2794cce945","productor",\N,"111","0"
"4438fdcc-d933-4829-b46f-72e6a820c553","content specialist and marketing assistant",\N,"26","0"
"4438fdcc-d933-4829-b46f-72e6a820c553","consultor de contenidos",\N,"11","0"
"4438fdcc-d933-4829-b46f-72e6a820c553","becaria comunicación interna",\N,"12","0"
"4438fdcc-d933-4829-b46f-72e6a820c553","content & advertisement specialist",\N,"10","0"
"4438fdcc-d933-4829-b46f-72e6a820c553","inbound marketing manager",\N,"6","0"
"f51a4487-7b46-49a7-bc59-4ef6ecfa65b6","motion grapher/ editor audiovisual/ producción de video",\N,"24","0"
"f51a4487-7b46-49a7-bc59-4ef6ecfa65b6","storyboardista/ animador 2d cut out/ guionista",\N,"81","0"
"246cbd02-8b29-4f49-ac44-136e0171292a","team lead design",\N,"3","4"
"2c7208e9-521d-4492-adca-6cbc2f326e83","adobe training- diseño ",\N,"24","0"
"2c7208e9-521d-4492-adca-6cbc2f326e83","diseño",\N,"12","0"
"2c7208e9-521d-4492-adca-6cbc2f326e83","diseño ",\N,"11","0"
"2c7208e9-521d-4492-adca-6cbc2f326e83","diseño",\N,"11","0"
"5afa650b-e03c-4588-bcc0-2297501952fe","community manager",\N,"41","0"
"5afa650b-e03c-4588-bcc0-2297501952fe","community manager",\N,"28","0"
"13e7e980-8ee6-4f2c-ba50-96dec92ec295","diseñador ui/ux",\N,"33","0"
"10989385-e995-41ca-8814-a2df6900c7cc","desarrollador de contenido",\N,"64","0"
"10989385-e995-41ca-8814-a2df6900c7cc","creador de video",\N,"46","0"
"10989385-e995-41ca-8814-a2df6900c7cc","productor audiovisual",\N,"10","0"
"7202f693-ecc9-43ca-855d-a3c0befe30dd","diseñador",\N,"11","1"
"d93ed206-9b09-412a-a8e3-06a84556b816","diseñador",\N,"24","1"
"d93ed206-9b09-412a-a8e3-06a84556b816","diseñadora freelance ",\N,"26","0"
"d93ed206-9b09-412a-a8e3-06a84556b816","diseñadora-partner",\N,"32","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","asesor financiero",\N,"16","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","jefe de farmacia",\N,"10","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","coordinador de operaciones",\N,"1","0"
"d9221512-e3a0-4cc9-82f5-e75eff9d8c85","auxiliar administrativo",\N,"15","0"
